(330, 'GSO 1000', 'GIN-3060'),
(331, 'MNG 1000', 'GIN-3060'),
(332, 'GIN 3030', 'GIN-3080'),
(333, 'GIN 3040', 'GIN-3080'),
(334, 'GMC 1000', 'GIN-3080'),
(335, 'GSC 1000', 'GIN-3080'),
(336, 'MAT 1910', 'GIN-3080'),
(337, 'IFT 1903', 'GIN-3080'),
(338, 'GLO 1901', 'GIN-3080'),
(339, 'GSO 2106', 'GIN-3110'),
(340, 'GSO 3100', 'GIN-3110'),
(341, 'GSO 1000', 'GSO-3103'),
(342, 'GSO 1100', 'GSO-3103'),
(343, 'MQT 1101', 'GSO-3103'),
(344, 'GIN 2110', 'GSO-3103'),
(345, 'GMC 3011', 'GSO-3103'),
(346, 'GIN 2110', 'GIN-3200'),
(347, 'GIN 2120', 'GIN-3200'),
(348, 'GIN 3010', 'GIN-3200'),
(349, 'GIN 3030', 'GIN-3200'),
(350, 'GIN 3040', 'GIN-3200'),
(351, 'GIN 3050', 'GIN-3200'),
(352, 'GSO 2100', 'GIN-3200'),
(353, 'GIN 2110', 'GIN-3220'),
(354, 'CTB 1000', 'CTB-1001'),
(355, 'CTB 1106', 'CTB-1001'),
(356, 'ECN 2901', 'CTB-1001'),
(357, 'GIN 3000', 'GIN-3310'),
(358, 'GIN 3200', 'GIN-3310'),
(359, 'GIN 3110', 'GIN-3320'),
(360, 'GIN 3300', 'GIN-3320'),
(361, 'GIN 3310', 'GIN-3320'),
(362, 'RLT 1000', 'RLT-2002'),
(363, 'KIN 2001', 'RLT-2002'),
(364, 'GIN 3010', 'RLT-2002'),
(365, 'ANL 2010', 'ANL-2020'),
(366, 'GCI 2580', 'GCI-2590'),
(367, 'GCI 2590', 'GCI-3590'),
(368, 'GCI 3590', 'GCI-3591'),
(369, 'GCI 1001', 'GCI-2000'),
(370, 'MAT 1900', 'MAT-1910'),
(371, 'MAT 1920', 'MAT-1910'),
(372, 'MAT 1110', 'MAT-2910'),
(373, 'MAT 1900', 'MAT-2910'),
(374, 'PHY 1002', 'MAT-2910'),
(375, 'IFT 1903', 'MAT-2910'),
(376, 'GLO 1901', 'MAT-2910'),
(377, 'IFT 1004', 'MAT-2910'),
(378, 'IFT 1901', 'MAT-2910'),
(379, 'GCI 2000', 'GCI-2001'),
(380, 'GMC 1001', 'GCI-2001'),
(381, 'MAT 1910', 'GCI-2002'),
(382, 'MAT 1900', 'GCI-1004'),
(383, 'GLG 1900', 'GCI-1007'),
(384, 'GCI 1009', 'GCI-2003'),
(385, 'GMC 1000', 'GCI-2003'),
(386, 'GMC 1900', 'GCI-2003'),
(387, 'GCI 2001', 'GCI-2003'),
(388, 'GMC 2001', 'GCI-2003'),
(389, 'GCI 1000', 'GCI-2004'),
